Unnamed: 0,trans_date_trans_time,cc_num,merchant,category,amt,first,last,gender,street,city,state,zip,lat,long,city_pop,job,dob,trans_num,unix_time,merch_lat,merch_long,is_fraud,month,day_of_week,hour,age,distance
1685,2020-06-21 22:06:39,3560725013359375,fraud_Hamill-D'Amore,health_fitness,24.84,Brooke,Smith,F,63542 Luna Brook Apt. 012,Notrees,TX,79759,31.8599,-102.7413,23,Cytogeneticist,1969-09-15,16bf2e46c54369a8eab2214649506425,1371852399,32.575873,-102.60429,1,6,7,22,55,80.43837135678474
1767,2020-06-21 22:32:22,6564459919350820,"fraud_Rodriguez, Yost and Jenkins",misc_net,780.52,Douglas,Willis,M,619 Jeremy Garden Apt. 681,Benton,WI,53803,42.5545,-90.3508,1306,Public relations officer,1958-09-10,ab4b379d2c0c9c667d46508d4e126d72,1371853942,42.461127000000005,-91.147148,1,6,7,22,66,66.26736116592106
1781,2020-06-21 22:37:27,6564459919350820,fraud_Nienow PLC,entertainment,620.33,Douglas,Willis,M,619 Jeremy Garden Apt. 681,Benton,WI,53803,42.5545,-90.3508,1306,Public relations officer,1958-09-10,47a9987ae81d99f7832a54b29a77bf4b,1371854247,42.771834000000005,-90.158365,1,6,7,22,66,28.840603771130056
1784,2020-06-21 22:38:55,4005676619255478,"fraud_Heathcote, Yost and Kertzmann",shopping_net,1077.69,William,Perry,M,458 Phillips Island Apt. 768,Denham Springs,LA,70726,30.459,-90.9027,71335,Herbalist,1994-05-31,fe956c7e4a253c437c18918bf96f7b62,1371854335,31.204974,-90.261595,1,6,7,22,30,102.96498766616341
1857,2020-06-21 23:02:16,3560725013359375,fraud_Hermann and Sons,shopping_pos,842.65,Brooke,Smith,F,63542 Luna Brook Apt. 012,Notrees,TX,79759,31.8599,-102.7413,23,Cytogeneticist,1969-09-15,f6838c01f5d2262006e6b71d33ba7c6d,1371855736,31.315782,-102.73639,1,6,7,23,55,60.3334004039122
1891,2020-06-21 23:16:12,3524574586339330,fraud_Thompson-Gleason,health_fitness,22.55,Ashley,Cabrera,F,94225 Smith Springs Apt. 617,Vero Beach,FL,32960,27.633000000000003,-80.4031,105638,"Librarian, public",1986-05-07,0bac42920027f9b7b3d328bda2709983,1371856572,28.396402,-80.819469,1,6,7,23,38,93.98910487088214
1906,2020-06-21 23:21:44,4005676619255478,fraud_Kuhic LLC,shopping_net,1128.26,William,Perry,M,458 Phillips Island Apt. 768,Denham Springs,LA,70726,30.459,-90.9027,71335,Herbalist,1994-05-31,eb388ceabaf56474808664772b2d5853,1371856904,30.354797,-91.146131,1,6,7,23,30,26.08831349253807
1956,2020-06-21 23:35:27,4005676619255478,"fraud_Reichert, Rowe and Mraz",shopping_net,931.82,William,Perry,M,458 Phillips Island Apt. 768,Denham Springs,LA,70726,30.459,-90.9027,71335,Herbalist,1994-05-31,aff46f2741b3501d32b447f842618666,1371857727,30.761363,-91.7136,1,6,7,23,30,84.67491332227242
1968,2020-06-21 23:40:26,4005676619255478,"fraud_Kihn, Abernathy and Douglas",shopping_net,983.0,William,Perry,M,458 Phillips Island Apt. 768,Denham Springs,LA,70726,30.459,-90.9027,71335,Herbalist,1994-05-31,8cabf98e58e2b29f7684362fea1f026c,1371858026,29.902451,-91.749089,1,6,7,23,30,102.23146221670432
2026,2020-06-21 23:59:05,6564459919350820,fraud_Lemke-Gutmann,shopping_net,955.16,Douglas,Willis,M,619 Jeremy Garden Apt. 681,Benton,WI,53803,42.5545,-90.3508,1306,Public relations officer,1958-09-10,1799ffe421a2a05dc87903e379140f55,1371859145,43.027879,-90.493768,1,6,7,23,66,53.8722337760211
2039,2020-06-22 00:06:40,4005676619255478,"fraud_Rodriguez, Yost and Jenkins",misc_net,701.81,William,Perry,M,458 Phillips Island Apt. 768,Denham Springs,LA,70726,30.459,-90.9027,71335,Herbalist,1994-05-31,720905fa777ec90291cfd002fd12d67f,1371859600,30.652786,-90.206798,1,6,1,0,30,70.1386595770844
2173,2020-06-22 01:18:02,3524574586339330,"fraud_Yost, Block and Koepp",misc_pos,8.39,Ashley,Cabrera,F,94225 Smith Springs Apt. 617,Vero Beach,FL,32960,27.633000000000003,-80.4031,105638,"Librarian, public",1986-05-07,5461e8c92d8b6512c620b2f943ff8ffa,1371863882,27.059901,-80.32383,1,6,1,1,38,63.98708746416005
2195,2020-06-22 01:25:13,4005676619255478,"fraud_Goldner, Kovacek and Abbott",grocery_pos,326.94,William,Perry,M,458 Phillips Island Apt. 768,Denham Springs,LA,70726,30.459,-90.9027,71335,Herbalist,1994-05-31,219c46c355f98b732d9a36818c5b8a88,1371864313,29.784597,-90.671894,1,6,1,1,30,77.9991032246644
2258,2020-06-22 01:54:33,3524574586339330,"fraud_Osinski, Ledner and Leuschke",grocery_pos,353.08,Ashley,Cabrera,F,94225 Smith Springs Apt. 617,Vero Beach,FL,32960,27.633000000000003,-80.4031,105638,"Librarian, public",1986-05-07,7220be6f2a92f9c1056d2bcf46c986bd,1371866073,28.256217,-80.914551,1,6,1,1,38,85.4587429316434
2467,2020-06-22 03:38:35,4005676619255478,"fraud_Kerluke, Considine and Macejkovic",misc_net,868.48,William,Perry,M,458 Phillips Island Apt. 768,Denham Springs,LA,70726,30.459,-90.9027,71335,Herbalist,1994-05-31,2316b3d5045b9dcba383d5c27031ea4a,1371872315,30.283263,-90.606406,1,6,1,3,30,34.50698437483664
2495,2020-06-22 03:48:20,3524574586339330,fraud_Skiles-Ankunding,grocery_net,13.25,Ashley,Cabrera,F,94225 Smith Springs Apt. 617,Vero Beach,FL,32960,27.633000000000003,-80.4031,105638,"Librarian, public",1986-05-07,d40a602f3d62fc3849bacd25c413952b,1371872900,27.874482,-80.381534,1,6,1,3,38,26.844271824213955
2506,2020-06-22 03:55:36,3524574586339330,fraud_Kuhn LLC,shopping_pos,777.45,Ashley,Cabrera,F,94225 Smith Springs Apt. 617,Vero Beach,FL,32960,27.633000000000003,-80.4031,105638,"Librarian, public",1986-05-07,20ffa4abb3d483d9558c33640be75066,1371873336,27.913215,-80.423565,1,6,1,3,38,31.117699655970398
2650,2020-06-22 04:58:25,3524574586339330,fraud_Schumm PLC,shopping_net,967.86,Ashley,Cabrera,F,94225 Smith Springs Apt. 617,Vero Beach,FL,32960,27.633000000000003,-80.4031,105638,"Librarian, public",1986-05-07,4ee010ce369915da173469857effcea5,1371877105,28.218323,-80.97967,1,6,1,4,38,86.18620013164868
5669,2020-06-22 21:51:05,4005676619255478,"fraud_Baumbach, Strosin and Nicolas",shopping_pos,825.81,William,Perry,M,458 Phillips Island Apt. 768,Denham Springs,LA,70726,30.459,-90.9027,71335,Herbalist,1994-05-31,d6f6c02b96059201092cab8cef7ceabf,1371937865,29.477134000000003,-90.715715,1,6,1,21,30,110.3277378135641
5757,2020-06-22 22:20:13,3524574586339330,fraud_Shanahan-Lehner,personal_care,21.92,Ashley,Cabrera,F,94225 Smith Springs Apt. 617,Vero Beach,FL,32960,27.633000000000003,-80.4031,105638,"Librarian, public",1986-05-07,a965da9bc7daef7f526ce640d5c090ae,1371939613,27.339943,-81.199244,1,6,1,22,38,85.11633971061198
5940,2020-06-22 23:08:25,3524574586339330,"fraud_Haley, Batz and Auer",health_fitness,21.74,Ashley,Cabrera,F,94225 Smith Springs Apt. 617,Vero Beach,FL,32960,27.633000000000003,-80.4031,105638,"Librarian, public",1986-05-07,c3a4aa2a2242f932c576d974dae46a34,1371942505,26.782874,-79.428065,1,6,1,23,38,134.92398243303055
6023,2020-06-22 23:35:47,3524574586339330,fraud_Kutch-Wilderman,home,250.32,Ashley,Cabrera,F,94225 Smith Springs Apt. 617,Vero Beach,FL,32960,27.633000000000003,-80.4031,105638,"Librarian, public",1986-05-07,217ca81136b86234abecc0ece6358f96,1371944147,27.27806,-79.59461800000001,1,6,1,23,38,89.07341932061004
10036,2020-06-24 00:26:45,180098888332620,fraud_DuBuque LLC,grocery_pos,315.45,Dennis,Davidson,M,08469 Trujillo Forge,Springville,NY,14141,42.52,-78.6847,7728,"Scientist, research (maths)",1959-03-30,6337ebf236753a68a2697295960a30b7,1372033605,42.385601,-79.023729,1,6,3,0,65,31.633327953815886
10047,2020-06-24 00:44:24,180098888332620,"fraud_Huel, Hammes and Witting",grocery_pos,279.78,Dennis,Davidson,M,08469 Trujillo Forge,Springville,NY,14141,42.52,-78.6847,7728,"Scientist, research (maths)",1959-03-30,193eebbe720a3f04ab49e04ec2355902,1372034664,41.898108,-78.397992,1,6,3,0,65,73.02275138200048
10167,2020-06-24 02:56:50,180098888332620,fraud_Murray-Smitham,grocery_pos,287.38,Dennis,Davidson,M,08469 Trujillo Forge,Springville,NY,14141,42.52,-78.6847,7728,"Scientist, research (maths)",1959-03-30,a623c5c05b514e3d56ee333bd5565adc,1372042610,42.012741,-79.204228,1,6,3,2,65,70.79573997327255
10193,2020-06-24 03:21:56,180098888332620,fraud_Heidenreich PLC,grocery_pos,276.4,Dennis,Davidson,M,08469 Trujillo Forge,Springville,NY,14141,42.52,-78.6847,7728,"Scientist, research (maths)",1959-03-30,e1cc0619cfe18299992638e7a19d5b3d,1372044116,43.042593,-79.05250799999999,1,6,3,3,65,65.39200147126358
10206,2020-06-24 03:33:40,180098888332620,fraud_Huels-Hahn,gas_transport,7.82,Dennis,Davidson,M,08469 Trujillo Forge,Springville,NY,14141,42.52,-78.6847,7728,"Scientist, research (maths)",1959-03-30,75ecf87a722ea6a87d1d0dbb72919412,1372044820,41.864069,-79.63338399999999,1,6,3,3,65,106.99900681316034
11666,2020-06-24 22:03:55,180098888332620,fraud_Durgan-Auer,misc_net,790.54,Dennis,Davidson,M,08469 Trujillo Forge,Springville,NY,14141,42.52,-78.6847,7728,"Scientist, research (maths)",1959-03-30,80275a9dbfd3b1a7a5a11bcaa000afab,1372111435,43.22957,-78.451208,1,6,3,22,65,81.10201629859226
